ano_letivo,serie,letra,nome_aluno,apelido,ataque,defesa,tecnica,velocidade,fisico,goleiro
2025,1,K,Nicolas Gross,,85,71,84,94,66,8
2025,1,K,Kevin Taveira,,61,93,74,71,86,18
2025,1,K,Emanuel,,91,61,77,70,81,12
2025,1,K,José Francisco,,81,66,81,86,71,14
2025,1,E,Matheus Martinez,,92,75,93,99,71,11
2025,1,E,Lucao,,60,96,68,72,99,79
2025,1,E,Togni,,99,63,81,77,85,14
2025,1,E,Friggi,,80,66,82,91,66,9
2025,1,E,Magrao,,71,99,82,73,80,28
2025,1,E,Davi,,89,71,86,95,59,19
2025,1,E,Gustavo,,92,61,82,75,80,8
2026,3,J,Mateus Ricardo,,97,99,93,88,88,28
2026,3,J,Leo,,99,84,98,99,75,16
2026,3,J,Jojo,,98,82,99,99,77,8
2026,3,J,Batista,,64,99,78,80,99,84
2026,3,J,Miguel,,99,71,83,76,86,10
2026,3,J,Caua,,99,80,88,85,93,16
2026,3,J,André,,82,71,82,93,67,18
2026,3,J,Joao Vinicius,,87,70,84,93,71,9
2026,3,J,Lucas Pierre,,82,66,78,89,60,9
2026,3,K,Kauan Eduardo,,99,79,89,87,86,12
2026,3,K,Matheus Salvego,,90,78,95,96,71,19
2026,3,K,Jhonatan,,99,67,88,79,82,18
2026,3,K,Vinicius Felix,,85,73,83,93,66,18
2026,3,K,Francisco Felix,,69,99,79,76,92,22
2026,3,K,Lino,,60,99,75,77,99,82
2026,3,K,Fabinho,,87,70,89,92,77,12
2026,3,F,Luquinhas,,95,84,96,99,86,12
2026,3,F,Moraes,,56,99,72,74,99,80
2026,3,F,Henry,,99,72,83,81,85,9
2026,3,F,Caio Dias,,90,71,89,96,74,21
2026,3,F,Carrinho,,84,67,84,88,67,22
2026,3,I,Izael,,92,64,78,73,88,12
2026,3,I,Fernando,,82,99,83,87,99,90
2026,3,I,Marcondes,,86,69,83,87,65,13
2026,3,I,Gui Barreto,,84,68,84,87,67,8
2026,3,I,Lucas Stabile,,66,96,76,71,81,29
2026,3,H,Henrique,,89,74,89,93,75,13
2026,3,H,Rodrigues,,73,99,80,80,83,24
2026,3,H,Borges,,95,74,95,98,73,13
2026,3,H,Ryan,,94,78,97,99,72,13
2026,3,H,Oliver,,92,99,87,83,99,92
2026,3,H,Joao Marcelo,,98,64,82,82,89,18
2026,3,H,Cintra,,99,69,87,82,93,11
2026,3,A,Otavio Bório,,75,99,85,78,83,32
2026,3,A,Gabriel,,70,99,77,80,99,85
2026,3,A,Girotto,,99,66,87,76,87,19
2026,3,A,Viniel,,86,70,87,95,62,18
2026,3,A,Caua Oliveira,,88,69,89,92,72,15
2026,3,L,Lucas Ribeiro,,93,77,93,99,78,19
2026,3,L,André,,99,84,99,99,89,15
2026,3,L,Gustavo,,93,75,88,95,74,10
2026,3,L,Lopes,,93,80,98,99,75,11
2026,3,L,Nicolas,,56,99,72,74,99,80
2026,2,K,Gustavo,,78,99,83,79,96,19
2026,2,K,Natan,,93,73,91,96,77,12
2026,2,K,Frota,,99,64,81,80,86,14
2026,2,K,Cezao,,75,99,79,78,99,86
2026,2,K,Caetano,,90,73,89,99,69,15
2026,2,K,Nicolas Gross,,90,72,87,97,69,16
2026,2,K,Kevin Taveira,,69,99,80,71,76,19
2026,2,K,Emanuel,,95,63,83,75,79,8
2026,2,K,José Francisco,,83,66,85,93,68,22
2026,2,E,Matheus Martinez,,93,78,93,96,75,14
2026,2,E,Lucao,,61,99,73,73,99,81
2026,2,E,Togni,,99,67,83,77,89,18
2026,2,E,Friggi,,84,74,89,95,63,21
2026,2,E,Magrao,,69,98,82,80,86,18
2026,2,E,Davi,,87,71,90,92,75,19
2026,2,E,Gustavo,,94,66,81,77,82,19
